target_id,x,y,weight,cell_count,local_risk,service_time
173,68.0121,176.2219,239.96563,117,0.084004,1.0
352,100.4686,363.2429,179.89541,90,0.0299,1.0
318,92.0058,334.6515,157.99137,75,0.031451,1.0
378,149.5666,389.3779,136.19478,64,0.074952,1.0
149,188.5505,139.8355,111.39065,54,0.021004,1.0
159,81.9841,157.0002,109.93066,51,0.035957,1.0
307,55.4316,315.8435,98.15941,44,0.068807,1.0
292,60.0634,296.6422,94.57687,42,0.027887,1.0
102,162.5429,96.7923,85.80665,40,0.057547,1.0
291,146.4446,293.5804,85.62706,40,0.026726,1.0
380,68.7679,390.9973,80.44034,40,0.059196,1.0
353,57.0935,360.5367,72.33871,30,0.478308,1.0
374,221.5689,381.818,71.3176,36,0.026029,1.0
218,190.5407,203.3215,65.67727,36,0.598241,1.0
257,62.4943,249.5795,59.79837,30,0.035985,1.0
278,17.0633,272.9836,57.27017,27,0.031415,1.0
289,120.5138,294.3016,55.74388,26,0.029518,1.0
377,169.2729,386.687,54.49299,26,0.109509,1.0
241,126.5487,231.6721,53.33433,24,0.08187,1.0
371,23.623,376.5461,50.61774,24,0.215306,1.0
314,7.4761,323.8329,50.01814,22,0.046518,1.0
185,86.001,172.5351,49.88746,24,0.109352,1.0
122,43.9783,111.4184,49.40869,24,0.031967,1.0
164,47.5413,158.8713,47.25035,22,0.024491,1.0
332,152.5654,340.9206,47.07039,22,0.477567,1.0
167,5.44,159.6743,43.24125,20,0.033442,1.0
335,184.0,348.9111,43.10134,21,0.327118,1.0
296,124.5187,295.958,42.73137,20,0.029259,1.0
244,88.4803,232.9826,42.66971,20,0.252628,1.0
326,18.9851,332.426,41.32638,18,0.131906,1.0
329,221.4547,336.7907,38.67832,18,0.028329,1.0
369,74.6003,374.0214,37.96696,18,0.111552,1.0
93,86.9809,78.7273,37.52218,18,0.04414,1.0
319,39.5376,327.4822,37.25288,16,0.212846,1.0
280,226.0049,273.6605,37.19161,18,0.023894,1.0
271,162.5081,267.1153,36.17877,16,0.029396,1.0
79,216.4865,70.7245,35.81259,16,0.023217,1.0
181,13.4223,167.9198,35.70883,18,0.053757,1.0
362,201.55,369.5722,34.67367,16,0.060565,1.0
347,193.9423,351.1096,34.24017,18,0.171122,1.0
348,222.0,356.8008,31.47883,15,0.024551,1.0
294,12.551,294.4806,31.22583,16,0.034883,1.0
203,107.4382,190.0368,29.91389,14,0.329503,1.0
300,92.5443,299.0451,27.8671,12,0.021838,1.0
87,112.4872,72.9425,26.51107,14,0.08192,1.0
270,72.5005,266.4025,26.1786,12,0.024923,1.0
223,225.0614,207.5577,25.90571,12,0.213035,1.0
94,227.5448,78.7668,25.47036,14,0.025894,1.0
281,201.5091,277.5577,25.29886,12,0.02553,1.0
268,48.9609,260.6597,22.55339,12,0.034443,1.0
186,156.0,176.8447,22.37458,11,0.03683,1.0
275,124.0,272.7705,22.16668,10,0.018654,1.0
136,161.4963,126.4757,21.60437,8,0.022288,1.0
202,46.5552,189.4305,21.24014,12,0.065162,1.0
360,64.9928,368.4056,21.18846,12,0.256214,1.0
372,205.5192,376.7827,21.04229,10,0.043536,1.0
267,126.5125,258.243,20.58695,10,0.02539,1.0
259,101.507,248.7046,20.26944,8,0.075774,1.0
342,7.56,350.2941,19.99247,12,0.111717,1.0
356,111.0265,363.4973,19.804,12,0.040499,1.0
285,183.5468,281.4308,19.61941,8,0.026178,1.0
129,180.0,122.8195,19.56361,8,0.023489,1.0
37,76.1294,33.593,19.23691,12,0.10394,1.0
266,39.4293,257.0794,19.02412,10,0.042011,1.0
349,41.5451,355.1673,18.979,10,0.65271,1.0
182,135.6458,165.9187,18.47931,8,0.027495,1.0
211,11.5452,194.4676,18.44352,8,0.370206,1.0
59,60.4759,48.1137,18.3113,10,0.452152,1.0
364,13.0928,370.9389,18.19782,9,0.135133,1.0
191,183.3753,177.5347,18.03017,8,0.144557,1.0
282,165.8256,276.9413,17.95408,9,0.028645,1.0
39,40.5966,33.3795,17.15802,8,0.302315,1.0
336,24.8013,341.3106,17.15631,8,0.298717,1.0
221,145.5314,204.4506,17.10453,8,0.050199,1.0
339,70.653,346.4735,17.09235,8,0.198515,1.0
119,8.0,106.5434,16.92559,7,0.022304,1.0
330,205.0,336.4787,16.23421,7,0.058034,1.0
183,168.6278,167.5148,16.09085,8,0.034319,1.0
331,52.0,338.6854,15.95841,8,0.375756,1.0
287,98.0,289.7533,15.89836,7,0.029304,1.0
204,112.5408,189.496,15.84134,8,0.262291,1.0
384,114.4711,398.5334,15.71935,8,0.022441,1.0
376,132.4587,381.0779,15.6985,7,0.065579,1.0
375,32.2367,380.4631,15.45801,8,0.240776,1.0
209,122.1287,192.4773,15.38431,6,0.163393,1.0
273,112.5326,266.4997,14.90991,8,0.02499,1.0
215,69.9736,197.4355,14.02468,6,0.226359,1.0
