step,x,y,risk
0,0,0,0.022766
1,1,1,0.045722
2,2,1,0.017663
3,3,1,0.034597
4,4,1,0.020345
5,5,1,0.015795
6,6,1,0.002155
7,7,1,0.026803
8,8,1,0.005481
9,9,1,0.018546
10,10,2,0.02725
11,11,2,0.003675
12,12,2,0.009781
13,13,3,0.005026
14,14,3,0.020057
15,15,3,0.010239
16,16,3,0.013111
17,17,4,0.040203
18,18,5,0.013175
19,19,6,0.012657
20,20,6,0.004753
21,21,7,0.040137
22,22,7,0.027562
23,21,7,0.040137
24,20,7,0.018222
25,19,7,0.015019
26,18,7,0.036724
27,17,7,0.014544
28,16,8,0.019051
29,15,8,0.01259
30,14,8,0.038637
31,13,8,0.006209
32,12,8,0.02893
33,11,9,0.03352
34,12,10,0.005043
35,12,11,0.007499
36,12,12,0.02664
37,12,13,0.032406
38,12,14,0.051956
39,12,15,0.026889
40,12,16,0.01664
41,12,15,0.026889
42,11,14,0.016818
43,10,13,0.035988
44,9,12,0.027743
45,8,11,0.026067
46,7,10,0.021261
47,6,9,0.024969
48,5,8,0.002119
49,4,7,0.03559
50,3,6,0.000991
51,3,5,0.012285
52,2,4,0.014734
53,1,3,0.007523
54,1,2,0.005374
55,0,1,0.039694
56,0,0,0.022766
